dns.id	ip.src	ip.dst	frame.time_epoch	dns.qry.type	dns.qry.name.len	dns.qry.name	frame.len	dns.resp.ttl	dns.cname	dns.a	dns.aaaa	dns.txt
"0x000067d0"	"187.124.15.148"	"187.124.45.219"	"1505818665.140505000"	"16"	"227"	"3.1o18sr00n5q1o67sp3rq3045r8s4n9rps777q7s9so7s45n9r698r845r88sq62.8s6p5r741p635393648s291q31qr69n15091s1qn6s784n5p2rr48qs2o071nq8.rn1p4q9r2or7p7776q08r909rso27q0o83s92qns9n03s8032q7rq15sso9p.5o43qno73p91so1q.i.03.s.sophosxl.net"	"307"	"300"				"x u"
"0x0000e58b"	"187.124.15.148"	"187.124.27.183"	"1505818665.150346000"	"1"	"17"	"DC1TMP.winad.priv"	"97"	"2348"		"138.48.4.32"		
"0x0000ea02"	"187.124.15.148"	"187.124.27.183"	"1505818665.150379000"	"28"	"17"	"DC1TMP.winad.priv"	"128"	"1530"				
"0x0000944d"	"187.124.15.148"	"187.124.27.183"	"1505818665.157265000"	"33"	"56"	"_kerberos._tcp.Namur._sites.dc._msdcs.PASTEUR.winad.priv"	"174"	"1482"				
"0x0000f2ad"	"207.222.140.147"	"187.124.15.148"	"1505818665.158448000"	"16"	"215"	"3.1o19sr00n5pq0s9op374noq0r8s4220rq677q7s9so7s45n9r65rsrp64408602.q09p8r741p635393648s2q125s12qrn970o3ppss37n55195r70on990s9pq2n0.r2264n9021sop664755ro204.7q04r0pqpnn9534529oo090nr90p5n88s5p91r06.i.08.s.sophosxl.net"	"279"					
"0x00002ed9"	"187.124.15.148"	"187.124.187.212"	"1505818665.158566000"	"16"	"215"	"3.1o19sr00n5pq0s9op374noq0r8s4220rq677q7s9so7s45n9r65rsrp64408602.q09p8r741p635393648s2q125s12qrn970o3ppss37n55195r70on990s9pq2n0.r2264n9021sop664755ro204.7q04r0pqpnn9534529oo090nr90p5n88s5p91r06.i.08.s.sophosxl.net"	"279"					
"0x0000412e"	"187.124.15.148"	"187.124.27.183"	"1505818665.162231000"	"33"	"43"	"_kerberos._tcp.dc._msdcs.PASTEUR.winad.priv"	"161"	"1482"				
"0x0000f82c"	"207.190.89.180"	"187.124.15.148"	"1505818665.180934000"	"16"	"215"	"3.1o19sr00nn3osn8qp377o1pqr8143o503477q7s9so7s45n9r695n0qr927o8s2.n5qp8r741p635393648s29q02870452r9o0nrp9s128430n1n37s18412r5878o.r2111r8039q6p173o2q592r4.qr66311883pr516156n5519p3rp91r6361q8os36.i.03.s.sophosxl.net"	"279"					
"0x00004979"	"187.124.15.148"	"187.124.55.186"	"1505818665.181037000"	"16"	"215"	"3.1o19sr00nn3osn8qp377o1pqr8143o503477q7s9so7s45n9r695n0qr927o8s2.n5qp8r741p635393648s29q02870452r9o0nrp9s128430n1n37s18412r5878o.r2111r8039q6p173o2q592r4.qr66311883pr516156n5519p3rp91r6361q8os36.i.03.s.sophosxl.net"	"279"					
"0x0000adb4"	"203.182.86.180"	"187.124.15.148"	"1505818665.199309000"	"16"	"34"	"46.201.58.216.ip.00.s.sophosxl.net"	"111"	"10"				""
"0x00006891"	"187.124.15.148"	"187.124.27.211"	"1505818665.199406000"	"16"	"34"	"46.201.58.216.ip.00.s.sophosxl.net"	"111"	"10"				""
"0x0000cd21"	"203.222.229.153"	"187.124.15.148"	"1505818665.200707000"	"16"	"43"	"fnsroebjfvat.tbbtyr.pbz.m.00.s.sophosxl.net"	"148"	"10"				"w u h 2a 0	#006f38d00291e1ea"
"0x00009924"	"187.124.15.148"	"187.124.27.211"	"1505818665.200858000"	"16"	"43"	"fnsroebjfvat.tbbtyr.pbz.m.00.s.sophosxl.net"	"148"	"10"				"w u h 2a 0	#006f38d00291e1ea"
"0x0000a5ee"	"187.124.15.148"	"187.124.21.255"	"1505818665.205734000"	"6"	"21"	"sphy-15-13.winad.priv"	"139"	"3300"				
